	id	text	label
0	10318	Snadna manipulace při vysypávání smetí.	0
1	11225	Což vlastně nemusí být negativní :) člověk se opravdu zapotí.	1
2	10570	Turbo nástavce skvěle chytají vlasy a zvířecí chlupy.	0
3	10642	Nutné výměnné pytlíky na zachycování odpadu.	1
4	10599	Malinko těžší než by člověk odhadl.	1
5	11373	Což je sice snadné.	0
6	10292	Při zapojeni uprostřed třípokojového bytu má dosah po celém bytu.	1
7	11010	Sací trubice snad  ani k tomuto vyssavačí nepatří.	1
8	11127	Velká hlučnost při vysávání.	0
9	10353	Na tyči možno zastrčit nástavec třeba na vysátí klávesnice (nemusíte ho mít v kapse nebo pro něj běžet).	1
10	11017	Poněkud větší než se zdá.	1
11	10841	Kolik toho ještě vydrží.	1
12	11222	Ale v případě perfektního úklidu to asi jinak nejde.	1
13	10380	Perfektní stroj pro chovatele domácích mazlíčků.	0
14	11468	Zapínání a vypínání pouze přes max výkon.	1
15	9980	Za rozumnou cenu  dobrý výrobek.	0
16	9727	Výkonný motor s možností regulace.	0
17	11369	Pokud chce vysavač při vysávání udržet v chodu.	1
18	9256	Pro mne asi lepší ručně.	1
19	9961	Dobrá ovladatelnost na kolečkách.	0
20	9646	Nádherný desing skvělé vysává.	0
21	11427	Při upevnění držáku na stěnu se vysavač špatně nasazuje a hrozí vypadnutí.	1
22	10334	Dobře vysaje plovoučku i koberec.	0
23	9457	Snad vydrží tolik co jeho předchůdce( 5 let) a je výkonný.	0
24	9402	Protože jsem ho měla víc jak deset let.	0
25	9530	Vysavač se dostane všude je opravdu variabilní.	0
26	10396	Stejně dobře vysaje i podlahu.	0
27	11297	Špatně se zavírá víko od filtru.	1
28	10768	Taky jde velmi špatně sundat hlavní tyč.	1
29	11030	Že se musí omotávat ručně.	1
30	11337	Bez držáku na zeď.	0
31	9800	Tichý luxování je radost.	0
32	9858	Dobry saci vykon - regulovatelny.	0
33	9797	Mám již druhý vysavač stejné značky.	1
34	9348	Tedy kvalitní a lehké zametání podlah.	0
35	9996	Za nizkou cenu kvalitní výrobek.	0
36	10407	Vysaje i pod nízkým nábytkem.	0
37	10589	1) velmi špatné uchycení hadice do těla vysavače - jediný plastový minikolíček.	1
38	9306	Přestože nemá nijak vysoký příkon (na štítku je napsáno dokonce pouze 1200 w).	1
39	9385	Nemusite se pri vysavani a vytirani ohybat.	0
40	11414	Nelze použít jiná příslušenství.	1
41	9860	Čistí sedačky i koberce.	0
42	9650	Ale to mi nevadí :).	1
43	11223	Skladovat tak v komoře nebo v rohu místnosti.	0
44	9895	Stabilní sací výkon po celou dobu vysávání.	0
45	10980	Kdyz samponujete tak to musite drzet ve vzduchu protoze nejde vypnout vysavani.	1
46	11466	Malou hubicku na kocici pelisky).	0
47	11483	Pro někoho může být nevýhodou poněkud vyšší váha odnímatelného ručního vysavače.	0
48	9389	Pomalé nabíhání při zvýšení výkonu (menší spotřeba energie).	1
49	10996	Tedy pokud nemate druy.	0
50	10235	Jeden z levných vysavačů.	0
51	10229	Nebo třeba s turbokartáčem se hluk zvýší.	1
52	11084	V byte asi staci.	0
53	9507	Vyšší chlup je problém.	1
54	9320	Ale: velmi tichý a saje také na jedničku.	0
55	11186	Že vysavač je tichý když je hlučná hubice při vysávání hlučnější.	0
56	10748	Ale ta při miele asi bude vždy.	1
57	10136	Skvělý výrobek za velmi přijatelnou cenu.	0
58	10039	Která se snadno přizpůsobí jakémukoliv nástroji.	0
59	10342	Takže vysavač při nabíjení neosvětluje celou místnost (konečně :-)).	1
60	10746	I když i já se k tomu musím trochu ohýbat :-).	1
61	10484	Ale lze snadno očistit stlačeným vzduchem.	0
62	9439	Velké využití při úklidu.	0
63	9462	Velmi dobrý výkon saje uplně všechno.	0
64	11536	Je lepsi cistit venku.	0
65	11065	Černá nádobka - není vidět.	1
66	10331	42 min (úplně dostačující).	1
67	10704	Malá nádobka na nečistoty - musím často vysypávat.	0
68	11561	Neni kovove trubicky v vysavvace.	1
69	10854	Sací hadice se přidělává k vysavači pouze na takovém kolíčku.	1
70	10457	Ve srovnání s předchozím mnohem lépe vysává (rozdíl je vidět hlavně na koberci).	0
71	11059	Hadice vysavače je příliš měkká a má tendenci se lámat.	1
72	9738	Za ty prachy hodně muziky.	0
73	10108	Vysaje i z chlupatého koberce nečistoty díky rotačnímu kartáči což se klasickému vysavači nepovedlo a už mi zabízá akorát místo ve skříni.	0
74	9761	Moc hezký vzhled vysavače.	0
75	10402	V jednom čase vysaje i vytře.	0
76	9428	Už máme v rodině tři kusy a ideálni.	0
77	11280	Chybí indikátor nabití baterie.	1
78	10921	Nemožnost regulace výkonu motoru.	1
79	11419	Než s ostatními vysavači.	0
80	10061	Díky kterým opravdu vidíte i pod nábytek.	0
81	10757	Poměrně náročný na údržbu.	0
82	11028	Ten jde oddělat jednoduše.	1
83	11160	Snad jen trochu hlučnější.	1
84	10418	Že je bezsáčkový a bez šňůry.	0
85	10099	Že vydrží mnohem déle.	1
86	11060	Vysátý nepořádek vypadává zpět.	1
87	9737	Je to jeden z posledních vysavačů.	0
88	9411	Vše funguje jak má.	0
89	10544	Je lehoučký do ruky.	0
90	10853	Připojením kobercové hubice nastane obrovská hlučnost.	1
91	9531	Co chci a hledala jsem slušnou cenu.	0
92	11565	Prachový filtr se opravdu špatně čistí.	1
93	10190	Vhodné pro každodenní vysávání domácností se zvířaty.	0
94	10507	Systém filtrů dokonale zabrání úniku prachu z vysavače.	0
95	10872	Nemá madlo z vrchu.	1
96	11296	Aby se dalo dodatečně doobjedat.	1
97	10695	Tak výrobce nenabízí látkový sáček či pytel.	1
98	9433	Velmi krátká doba nabíjení akumulátoru (na trhu zcela bezkonkurenční.	0
99	9549	Vyzkouseno s rozlitym vinem na sklenem stole.	0
100	9578	Musíte nasadit kolečka podle návodu.	1
101	9974	Je ihned k dispozici.	0
102	10382	Malý a lehký vysavač.	0
103	9466	Po každém luxování se prach vysype a tak není potřeba sáček.	1
104	9999	Dobrá cena a lux dobře funguje.	0
105	10280	Stačí opláchnout filtr a vysypat/vypláchnout nádobu.	0
106	10069	A nízkou spotřebou (1400w).	1
107	11520	Mohl by být pevnější.	1
108	9782	Jednoduché čištění a údržba.	0
109	10478	Nádobka na prach je dostatečně velká.	0
110	10233	Úklid v rozích místnosti.	0
111	9410	Je to náš již druhý vysavač miele a můžu říct.	0
112	10241	Takže vysáváme i několikrát za den a nemusíme vyndavat velký vysavač.	0
113	10104	Oproti pokročilejším a luxusnějším modelům o dost levnější.	0
114	9843	Vysává hrubé nečistoty od suché hlíny i piliny.	0
115	11376	Opět jsem nedostala daňový doklad.	1
116	10210	35 mm hadice a trubice pasují na nástavce.	1
117	10092	Má silný tah při vysávání podlahy i koberce.	0
118	11553	Malá nádoba na prach.	1
119	9814	Dodávané se 3 nástavci.	0
120	9562	Snadná manipulace s vysavačem.	0
121	11458	Hodí se možná tak jen na tmavou podlahu.	1
122	10899	Prach zůstává v místech.	0
123	10517	Pro rodinný dům je nezaměnitelný.	1
124	11007	Chce to cvik jak trubici natočit aby voda nestříkala mimo požadovaný prostor.	1
125	10556	Very convenient to use in a big apartment or house.	0
126	10036	Zásuvka na ruční strojky.	0
127	9486	-kč a přepájet běžnou trafopáječkou).	1
