	id	text	label	confidence_pro	confidence_con	actual
0	33597	Lze ale velmi jednoduse ocistit.	1	0.059	0.941	1
1	35166	Miska s nožem se hůře otvírá.	1	0.005	0.995	1
2	31281	Ale uz ted se s ni stala ma vyborna kamaradka :).	1	0.010	0.990	0
3	32828	Lze to dát do myčky.	1	0.013	0.987	1
4	35807	Ale spíš je to jen taková pěna.	1	0.154	0.846	1
5	35481	Takže ani stěrkou to pořádně nejde.	1	0.004	0.996	1
6	35737	Slabší je řešení dávkovače prášků.	1	0.003	0.997	1
7	35233	Ne každý má doma na to bity.	1	0.006	0.994	1
8	30590	Je to můj třetí kávovar a je na začátku v provozu.	1	0.114	0.886	0
9	32064	Bleskové řešení problému (poškozené zboží dopravcem).	1	0.007	0.993	0
10	31946	Povrch je lesklý a působí čistě.	1	0.005	0.995	0
11	29183	Na chalupě) a vždy velká spokojenost.	0	0.999	0.001	0
12	33402	Že se nádoba při mixování malinko odšroubuje a obsah mi začne téct nebo kapat.	1	0.004	0.996	1
13	31004	Jednoduchá výměna 'voda za sáček' a naopak.	0	0.998	0.002	0
14	33746	U espresa jde dělat pouze po jednom šálku.	1	0.004	0.996	1
15	33748	Krátká hubice se zalomením.	1	0.007	0.993	1
16	29475	Že mixovaný pokrm necáká.	0	0.995	0.005	0
17	29764	Do této doby jsem nebyla schopna pozřít syrové ovoce a zeleninu.	1	0.015	0.985	0
18	34108	Nastaveni otacek v krocich 600.	1	0.012	0.988	1
19	29389	Tak jsme šlehač mléka ani nezkoušeli.	0	0.993	0.007	0
20	34737	Nepřejedou ani přes vlastní elektrickou šňůru.	0	0.990	0.010	1
21	33383	Ale již jsem zakoupil redukci na staré hubice a je po problému a to za cca 170kč.	1	0.007	0.993	1
22	29317	Lze automaticky nastavit přídavné máchání ke každému praní.	0	0.998	0.002	0
23	30366	Podle recenzí jsem se rozhodla pro liv aquafilter 2000 a moje rozhodnutí bylo výborné.	0	0.998	0.002	0
24	29832	Dveřní celoplastové zábrany (ne jen lišta!).	1	0.004	0.996	0
25	31265	Indikator pro nutnost vycistit filtr.	1	0.004	0.996	0
26	29059	Prostě jen vkuse pár hodin chladí a je v provozu.	1	0.005	0.995	0
27	29709	Zrušila používání sušáku i žehličky.	0	0.998	0.002	0
28	34076	Kde však nedrží příliš pevně a jelikož je mléčné barvy.	1	0.016	0.984	1
29	30916	Příslušenství v těle vysavače.	0	0.998	0.002	0
30	33140	Na obrázkách je pěna vyšší a hustější.	1	0.134	0.866	1
31	31717	Možnost regulace výkonu vypínačem.	0	0.999	0.001	0
32	31476	Za 2500kč je to super.	0	0.972	0.028	0
33	29959	Jen s napětím očekávám životnost baterie.	1	0.005	0.995	0
34	29326	Kvalita a funkčnost  výrobku výborná.	0	0.999	0.001	0
35	35033	Lista na uchopeni otevirani je pro trpasliky.	1	0.031	0.969	1
36	30648	Široká plejáda dokoupitelného příslušenství.	0	0.999	0.001	0
37	31057	Poměr kvalita - cena.	0	0.999	0.001	0
38	35355	O rozích ani nemluvím.	0	0.997	0.003	1
39	35225	Ale nutno dodat že to nevypadá nekvalitně.	1	0.007	0.993	1
40	32693	Abych to jen tak hodila do kabelky.	1	0.012	0.988	1
41	34305	Ledna a stále se obchod 'kasa' nehlásí.	0	0.996	0.004	1
42	31417	Úsporné sušení - tepelné čerpadlo.	0	0.999	0.001	0
43	33144	Zasazením do řídící jednotky.	1	0.142	0.858	1
44	29596	Kdo lpí na značce - je to úplně stejný výrobek jako eta.	1	0.025	0.975	0
45	31706	Proudu jen 114 kw ročně.	1	0.005	0.995	0
46	29148	Snadné čištění mléčného okruhu.	0	0.999	0.001	0
47	35946	Ale také nic hrozného.	1	0.004	0.996	1
48	33172	Zabalit výrobek a předat dopravci.	0	0.988	0.012	1
49	28876	Zatím máme cca 14 dní a funguje super.	0	0.998	0.002	0
50	30003	Malý nezabere tolik místa na lince.	0	0.998	0.002	0
51	31418	Že s touto pračkou nikdo neprohloupí:).	1	0.016	0.984	0
